,room,time
6,차146,"['수1~2', '수3~4', '수7~8', '월1~2', '월3~4', '월5~6', '월7~8']"
7,차147,"['수1~2', '수3~4', '월3~4', '월5~6', '월7~8']"
154,차224,"['수C', '월E']"
74,차225,"['금1~2', '금3~4', '금7~8', '목C~D', '목G~H', '수5~6', '수7~8', '수G~H', '월G~H', '화A~B', '화G~H']"
9,차226,"['금E~F', '목A', '목C', '목D', '목E', '목F', '수C', '수D', '수E', '수F', '월C', '월D', '월E', '월F', '화B', '화C', '화D', '화E', '화F']"
3,차227,"['목A', '목C', '목D', '수A~B', '수C', '수D', '월E', '월F', '화B', '화C~D', '화E', '화F']"
52,차228,"['목B', '목D', '목E', '목F', '수A', '수C~D', '수E~F', '월B', '월C~D', '월E~F', '화A', '화C', '화D', '화F']"
75,차230,"['금10~11', '금3~4', '금5~6', '목C~D', '목F', '수C~D', '월1~2', '월3~4', '월7~8', '화D', '화G~H']"
36,차231,"['금C~D', '목C', '목F', '수B', '수C', '수D', '수E', '수F', '수G~H', '월A', '월C', '월D', '월E', '월F', '화D', '화E', '화G~H']"
40,차232,"['목C', '목D', '목E', '수E', '수F', '월C', '월D', '월E~F', '화C', '화E', '화F']"
59,차233,"['목A', '목B', '목C', '목D', '목E', '수A~B', '수D', '월3~4', '월F', '화A', '화B', '화C', '화E', '화F']"
56,차235,"['금C~D', '목F', '수C~D', '수F', '월D', '월E', '화D']"
50,차243,"['금A~B', '금C~D', '금E~F', '목A', '목B', '목C', '목D', '목E', '수C', '수D', '수E', '수F', '월A~B', '월C', '월D', '월E', '월F', '화A', '화B', '화C', '화E', '화F']"
51,차244,"['목A', '목B', '목C', '목D', '목F', '수A', '수B', '수E', '수F', '월A', '월B', '월C', '월D', '월E~F', '화A', '화B', '화D', '화E', '화F']"
90,차245,"['목A', '목B', '목D', '목E', '목F', '수A', '수B', '수C', '수D', '수E', '수F', '월A', '월B', '월C', '월D', '월E', '월F', '화A', '화B', '화C', '화D', '화F']"
57,차246,"['목A', '목B', '목C', '목D', '목E', '목F', '수C', '수E', '수F', '월C', '월D', '월E', '화12~13', '화A', '화B', '화C', '화D', '화E', '화F']"
76,차247,"['목A~B', '목C~D', '목E', '목F', '수7~8', '수A', '수B', '수C', '월A', '월B', '월C~D', '월E', '화C', '화D', '화E', '화F']"
73,차248,"['목A', '목B', '목C', '목E', '목F', '수C', '수D', '수E', '수F', '월C', '월D', '월E', '월F', '차247', '화A', '화B', '화C', '화D', '화E']"
11,차250,"['수A', '수B', '수C', '수D', '수E', '수F', '월A', '월B', '월C', '월D', '월E', '월F']"
16,차251,"['수A', '수B', '수C', '수D', '수E', '수F', '월A', '월B', '월C', '월D', '월E', '월F']"
15,차252,"['수A', '수B', '수C', '수D', '수E', '수F', '월A', '월B', '월C', '월D', '월E', '월F']"
