,room,time
70,인328,"{'화E', '목E', '월C', '월A', '목D', '월F', '수A', '금C', '목C', '월D', '화A', '수C', '수D', '금D', '수B', '월E', '화C', '금A', '금B', '목B', '월B', '화F', '수F', '수E'}"
71,인301,"{'화E', '목A', '목E', '월C', '금C~D', '목D', '월F', '목C', '월D', '화A', '수C', '목F', '금A~B', '화D', '수D', '월E', '화C', '목B', '화F', '수F', '수E', '화B'}"
72,대205,"{'금4', '금3', '수F', '화C', '월D', '금7', '목E'}"
73,대203,"{'목F', '화C', '화D', '수E~F', '화E', '수5~6', '목C', '월E~F', '목E'}"
74,차248,"{'화E', '목A', '목E', '월C', '월F', '목C', '월D', '화A', '수C', '목F', '화D', '수D', '월E', '화C', '목B', '차247', '수F', '수E', '화B'}"
75,차225,"{'수7~8', '화A~B', '월G~H', '금7~8', '금3~4', '목C~D', '수G~H', '목G~H', '수5~6', '화G~H', '금1~2'}"
76,차230,"{'수C~D', '목F', '화D', '금5~6', '금3~4', '금10~11', '목C~D', '월7~8', '월3~4', '화G~H', '월1~2'}"
77,차247,"{'목A~B', '화F', '월A', '수C', '수7~8', '월C~D', '목F', '화D', '수A', '목C~D', '수B', '화E', '월E', '화C', '월B', '목E'}"
78,유201,"{'금E~F', '화F', '수C', '월C~D', '화1~2', '목F', '금A~B', '화D', '목1~2', '목D', '화E', '월E', '목C', '화C', '목E'}"
79,인343,"{'화F', '수C', '목F', '월B', '화D', '수D', '목D', '월F', '수A', '화E', '월E', '목C', '수F', '화C', '목A', '월D', '목E', '화B'}"
80,자C306,{'화C~D'}
81,인113,"{'화F', '목D', '화E', '수F', '목C', '월E~F', '월D'}"
82,인332,"{'월C', '화A', '수C', '목F', '화D', '수E', '목C~D', '월E', '목A', '목B', '화B'}"
83,차136,"{'월C', '화A', '금C~D', '목F', '화D', '수E', '화E', '화C', '목C', '목A', '목B', '목E', '화B'}"
84,인331,"{'월C', '화A', '수C', '목F', '화D', '수D', '수E', '월F', '월E', '목A', '목B', '화F~G', '화B'}"
85,차119,"{'월C', '화A', '화F', '수C', '목F', '화D', '수D', '수E', '목D', '월F', '수A', '월E', '수F', '월B', '목A', '목B', '월D', '화B'}"
86,차137,"{'화F', '화A', '목F', '화D', '목D', '수F', '목A', '목B', '월D', '월G~H', '화B'}"
87,차139,"{'월F~G', '화E', '목A', '목E', '월C', '월A', '수A', '목C', '월D', '화A', '수C', '목F', '화D', '수B', '월E', '화C', '월B', '목B', '수F', '수E', '화B'}"
88,차138,"{'월C', '화F', '화A', '월A', '목D', '목B', '수B', '화E', '목C', '화C', '목A', '수E', '목E', '화B'}"
89,언B118,{'목E~F'}
